mu1,mu2,mu3,mu4,mu5,mu6,mu7,mu8,mu9,mu10,max1,max2,max3,max4,max5,max6,mu7,max8,max9,max10,med1,med2,med3,med4,med5,med6,med7,med8,med9,med10,grad1,grad2,grad3,grad4,grad5,grad6,grad7,grad8,grad9,grad10,label
300.1024606627175,58.00775453535733,4.952754998148734,213.17610236949272,87.10446455016667,63.42667345427635,6.916392077008528,509.6381275453535,437.8495298037763,423.15236717882283,1397.49625,228.94500000000005,7.8912499999999,1673.4025,1109.90875,711.4450000000002,23.55000000000001,2411.3325,1738.08,2205.91875,112.62124999999992,28.82000000000005,5.0162499999999,0.6524999999999181,-3.7162499999999454,0.5700000000001637,4.675000000000011,131.95749999999998,208.82999999999996,106.79375000000005,21.25,1.6875,0.12500000000000003,70.3125,30.625,21.6875,0.4375000000000002,117.75,57.9375,107.5,A
310.7596348574603,62.092146890040695,1.6998014624212616,233.58517077008526,83.74674564975938,59.4317419474271,6.880108756016303,568.3537685116622,472.8485829322472,444.37055766382827,1438.14875,252.13875,7.163749999999936,1712.42125,1168.21,743.0100000000002,25.298750000000013,2486.77875,1774.2725,2236.6262500000003,119.77375000000006,29.76374999999996,1.4137499999999363,17.2962500000001,-10.289999999999964,-3.8649999999997817,4.5487500000000125,191.02874999999997,246.89750000000004,126.75125000000004,23.375,1.9375,0.12500000000000003,75.6875,34.87500000000003,23.6875,0.4375000000000002,131.125,64.56250000000003,116.25,A
244.90034524250282,24.351350425768178,-0.6993877267679639,202.83154155868203,51.60646890040726,37.98375462791573,2.4919562199185554,559.5126008885599,359.3462004813032,385.4268706034802,1102.7075,110.74749999999996,4.2037499999999,1520.24375,737.8225,475.99625000000015,13.898750000000009,2402.535,1533.4625,2063.3525,99.45749999999998,9.372499999999944,-0.9212500000001,20.86875000000009,-8.052500000000009,-4.753749999999855,0.8987500000000068,223.66000000000008,155.3375000000001,114.10249999999996,12.375,0.8125,0.125,47.3125,17.0625,11.749999999999972,0.3125,80.81250000000006,36.6875,78.25,A
252.97556784524247,29.337162624953702,3.246452702702748,206.48022167715652,54.29970659015172,41.452447704554075,3.3852674935209053,556.9010533135873,386.05646566086637,398.6367525916328,1137.63375,118.55124999999998,5.0437500000000455,1557.45375,786.3824999999999,508.4362500000002,14.357499999999987,2426.37,1596.51375,2116.86875,103.88374999999996,13.676249999999982,3.168750000000045,20.4537499999999,-5.617500000000064,-3.5637499999998,1.8574999999999875,218.2449999999999,175.51375000000007,120.36875000000008,13.75,0.9375,0.125,51.25,18.68750000000003,13.125,0.3125,87.18749999999994,40.4375,82.9375,A
235.70256756756757,23.036056553128432,1.4641683635690486,199.35696871529055,52.510021751203176,42.89906007034424,2.4710945020362933,535.5841683635688,355.404732506479,371.51693076638276,1071.51,99.13874999999996,3.96875,1489.2975,649.1937499999999,443.8612499999999,11.67625000000001,2347.46375,1494.6825,2010.105,93.01,9.76374999999996,1.34375,19.2974999999999,-0.681250000000091,2.1112499999999272,1.1762500000000102,206.0887499999999,154.9324999999999,106.48000000000002,11.3125,0.75,0.25,41.25,13.625,9.75,0.25,67.87499999999994,31.8125,68.0,A
303.22783598667155,46.90759579785264,2.7464309514993444,259.7467965568309,78.17982969270643,56.56350888559784,5.824855146242137,605.494712606442,461.2278197889669,486.497346815994,1376.135,194.41625,6.4849999999999,1710.2225,964.095,628.0374999999999,19.558750000000003,2514.34375,1735.34125,2259.20875,119.635,21.54124999999999,2.4849999999999,40.97250000000008,-2.7799999999999727,0.662499999999909,4.558750000000003,233.96875,233.84124999999997,179.20875,18.1875,1.375,0.18749999999999997,59.0,23.4375,15.6875,0.3125,99.875,47.24999999999997,100.3125,A
237.90658459829686,23.167070992225064,0.6249217882265191,197.68636754905597,40.62968345057394,23.585557663828162,1.2468544057756352,549.9134450203628,353.78043178452424,373.4606275453535,1067.935,99.50874999999996,4.038749999999936,1488.87875,625.2750000000001,426.34125,11.253749999999997,2370.34,1488.69625,2022.03,95.80999999999996,10.008749999999964,-0.0862500000000636,15.503750000000082,-11.349999999999907,-9.783750000000056,1.2537499999999966,217.58999999999992,152.69624999999996,106.65499999999996,11.25,0.7500000000000036,0.125,41.0625,12.75,9.375000000000007,0.2500000000000001,68.87500000000006,31.4375,69.3125,A
232.9923528322844,22.35317012217699,2.582314883376509,180.10436597556455,40.52425721954828,32.89657534246584,2.99846168085894,542.9289767678638,355.15725981118106,364.13577193631994,1003.47,87.78750000000002,4.957499999999982,1422.6425,560.26875,386.7750000000001,8.469999999999999,2317.54125,1453.00875,1968.72,100.84500000000004,11.662500000000025,2.707499999999982,4.642499999999927,-5.8562500000000455,-2.849999999999909,2.719999999999999,222.54125,159.50874999999996,104.34500000000004,9.8125,0.625,0.1875,36.5,10.8125,8.000000000000007,0.2500000000000001,60.4375,28.5625,62.75,A
214.89944650129573,19.80373981858571,2.3356622547204466,153.21978156238444,40.44676878933736,35.37813587560142,2.3338416327286304,487.09550444279887,321.6976999259533,324.4192127915588,977.03,83.27625,4.123749999999973,1395.505,555.0975000000001,387.9699999999998,10.581250000000011,2265.5825,1417.9875,1932.16875,84.77999999999997,9.276250000000005,2.6237499999999727,-9.11999999999989,-3.402499999999918,0.2199999999997999,1.3312500000000114,167.45749999999998,127.61249999999995,68.79375000000005,9.8125,0.6875,0.125,36.8125,11.0625,8.1875,0.25,62.0,28.75000000000003,63.375,A
269.24618104405766,28.95548407997042,4.000242502776722,230.93207932247324,58.97249120696039,49.026535079600016,4.555446131062561,600.1557469455756,414.5959093854129,431.98058404294693,1143.185,113.38750000000005,5.154999999999973,1542.29625,676.94875,457.7962499999999,12.009999999999993,2425.1725,1586.67625,2106.3075,123.05999999999996,15.012500000000044,4.404999999999973,48.6712500000001,4.573750000000018,8.546249999999873,3.759999999999991,269.5474999999999,210.05125,161.6824999999999,12.1875,0.8125,0.1875,43.375,13.750000000000014,10.3125,0.25,72.74999999999994,34.125,75.5,A
